scenario_time,value,rolling_avg
130.597792,204.601316,24.16306436777778
130.630945,206.508802,24.313173727777777
130.664728,206.49523,24.45926969777778
130.697687,208.945924,24.604085436666665
130.731085,208.534157,24.74443555
130.764196,210.888226,24.883388336666666
130.798013,209.821298,25.01713786888889
130.830925,211.920576,25.149197364444444
130.864229,211.81859,25.277116217777778
130.897876,212.767495,25.402057358888893
130.931036,211.126175,25.52113806666667
130.964404,212.295771,25.63747691888889
130.997561,211.293697,25.748656320000002
131.030343,211.327229,25.855822346666667
131.064399,210.335286,25.957831016666667
131.097635,210.37396,26.05582292777778
131.130787,209.392759,26.148660385555555
131.164427,209.43696,26.249153446666664
131.19794,208.69962,26.35922669
131.230952,208.517249,26.479349771111107
131.264813,207.559416,26.60847084222222
131.297498,207.2669,26.747077694444442
131.331155,205.346833,26.893022
131.364306,205.407368,27.048034203333334
131.397899,203.072349,27.208788317777778
131.430825,203.675536,27.377597284444448
131.464138,202.357648,27.550966
131.498092,202.282585,27.728395013333333
131.530931,201.051311,27.90620619888889
131.564582,201.312298,28.083395653333334
131.597605,200.352469,28.25609295222222
131.630714,200.397237,28.42336693777778
131.664257,199.469282,28.583205835555557
131.697558,199.539391,28.737108593333332
131.731101,198.753748,28.884314902222226
131.764224,199.057934,29.025820994444448
131.797952,197.875538,29.160022525555558
131.830807,199.339821,29.29008221
131.86452,198.50373,29.41324462111111
131.897741,200.207637,29.532271895555557
131.930818,200.08071,29.644975300000002
131.964283,201.592894,29.753046956666665
131.997506,201.983221,29.855131831111112
132.029927,203.476798,29.952364016666667
132.060842,203.411782,30.043203931111112
132.093779,205.07131,30.12950373333333
132.129506,206.782575,30.211265644444445
132.164124,208.179328,30.289459338888886
132.197669,207.949293,30.362791016666666
132.230865,206.199285,30.42981803444444
132.264426,203.393338,30.48934235666667
132.297838,200.194259,30.540904555555556
132.330663,196.841055,30.584312712222225
132.363364,193.5659,30.61963463333333
132.397135,190.253779,30.646811918888893
132.430596,187.017957,30.665913460000002
132.464104,183.519545,30.67663290777778
132.497575,180.101248,30.679045884444445
132.530722,176.767315,30.67323381111111
132.564209,173.522202,30.65928404555556
132.597474,170.370568,30.637290017777776
132.630613,167.516504,30.607572745555554
132.66403,164.758195,30.57455716666667
132.697481,162.291771,30.539787091111116
132.730581,159.921878,30.501456143333332
132.764421,157.48268,30.461665436666667
132.797787,155.13862,30.41804098
132.830679,152.89367,30.37288406888889
132.864014,150.568589,30.32417586
132.897472,148.176545,30.27404237444444
132.930591,145.705036,30.219901059999998
132.964109,142.949503,30.163645539999997
132.997536,139.24128,30.102270066666666
133.030247,134.887272,30.036996844444445
133.06344,129.530875,29.964767552222224
133.096143,124.072766,29.88769686111111
133.127566,117.865862,29.802449738888892
133.164331,111.878819,29.712062561111107
133.197514,106.107401,29.61485973888889
133.230802,100.44176,29.51096076555556
133.264271,94.900838,29.400506145555553
133.297507,89.507792,29.283725586666662
133.330357,84.366518,29.16250203777778
133.363666,79.411322,29.035656693333333
133.397522,74.67927,28.903439271111107
133.430635,70.215504,28.766174749999998
133.464323,66.074432,28.62449942
133.497497,62.320422,28.479676270000002
133.530739,59.027373,28.33332817666667
133.563996,56.276262,28.187177597777776
133.596857,54.14975,28.042472775555556
133.629523,52.723458,27.900268290000003
133.663892,52.05496,27.761410843333334
133.697355,52.173374,27.627048434444447
133.730714,52.893494,27.497845166666664
133.764178,53.726836,27.37419969111111
133.797556,55.123729,27.256732744444445
133.830718,57.042943,27.146018665555555
133.864097,58.275454,27.041287785555557
133.901287,59.859166,26.94292294888889
133.930442,61.281933,26.85073715888889
133.963992,62.740572,26.764761228888887
133.997589,63.987231,26.684749602222222
134.03041,65.436543,26.610916333333332
134.063718,66.075884,26.542349115555556
134.096465,66.893717,26.479232555555555
134.1296,67.884205,26.421743216666666
134.164233,69.040518,26.37004830888889
134.197318,70.355068,26.324304602222224
134.23048,71.81974,26.28465755111111
134.26392,73.42611,26.251240614444445
134.296989,75.165638,26.22417472555556
134.330579,77.029832,26.203567863333333
134.364101,79.010383,26.189568076666664
134.397442,81.099264,26.182266786666666
134.430589,83.288809,26.181742675555554
134.463898,85.571759,26.18806135333333
134.497,87.941294,26.201274885555556
134.530463,90.391046,26.221421099999997
134.564033,92.915095,26.248522607777776
134.597252,95.304381,26.282359248888888
134.630814,97.614671,26.32276003777778
134.663895,99.476064,26.369127318888886
134.697356,100.870705,26.420824334444447
134.730547,101.402649,26.47675066777778
134.763947,101.970319,26.53677498
134.79751,102.051804,26.60048884777778
134.830042,100.930296,26.666366364444443
134.863627,98.78545,26.73323374222222
134.89704,96.119716,26.800254355555552
134.930573,93.10961,26.866722463333332
134.963902,89.926322,26.932044201111115
134.997597,86.743389,26.99501946111111
135.030815,83.560817,27.05621083111111
135.063887,80.378615,27.114943894444444
135.097214,77.37578,27.170990294444444
135.129922,74.547639,27.22425447222222
135.162958,71.719912,27.274436672222222
135.197024,68.892635,27.321178186666664
135.230608,66.065853,27.36448889888889
135.264149,63.239625,27.40484511777778
135.2975,60.414024,27.442516159999997
135.33088,57.589144,27.477557577777777
135.36412,54.765104,27.509737498888885
135.397227,51.942052,27.53881737111111
135.430541,49.120178,27.56455782111111
135.463963,46.299725,27.586724646666667
135.496694,44.187882,27.605879655555558
135.530824,43.150376,27.62300547111111
135.563839,42.121913,27.637918295555554
135.597163,41.103378,27.650453924444445
135.630678,40.095745,27.66046801666667
135.663833,39.10008,27.667835472222222
135.69647,38.117556,27.672449256666667
135.729288,37.149457,27.67421892666667
135.761495,36.197196,27.67306907333333
135.797165,35.262319,27.668937808888888
