joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_HIT,signal_detection_NONE,signal_detection_MISS
0.25,-0.25,7.470244,1,1,-154,1,-154,0,0,0,0,0,0,0,0,5,4,4,6,0,0,0,1,0
0.25,-0.25,7.054293,1,1,-155,1,-155,0,0,0,0,0,0,0,0,6,5,5,7,0,0,0,1,0
0.25,-0.25,6.727656,1,1,-156,1,-156,0,0,0,0,0,0,0,0,7,4,6,6,0,0,0,1,0
0.25,-0.25,6.502186,1,1,-157,1,-157,0,0,0,0,0,0,0,0,6,5,7,7,0,0,0,1,0
0.25,-0.25,6.386956,1,1,-158,1,-158,0,0,0,0,0,0,0,0,5,4,6,6,0,0,0,1,0
0.25,-0.25,6.386292,1,1,-159,1,-159,0,0,0,0,0,0,0,0,4,5,5,5,0,0,0,1,0
0.25,-0.25,6.498615,1,1,-160,1,-160,0,0,0,0,0,0,0,0,5,6,6,4,0,0,0,1,0
0.25,-0.25,6.716704,1,1,-161,1,-161,0,0,0,0,0,0,0,0,4,7,7,5,0,0,0,1,0
0.25,-0.25,7.029238,1,1,-162,1,-162,0,0,0,0,0,0,0,0,5,6,6,4,0,0,0,1,0
0.25,-0.25,7.422898,1,1,-163,1,-163,0,0,0,0,0,0,0,0,4,7,7,3,0,0,0,1,0
0.25,-0.25,7.884225,1,1,-164,1,-164,0,0,0,0,0,0,0,0,3,6,6,4,0,0,0,1,0
0.25,-0.25,8.400848,1,1,-165,1,-165,0,0,0,0,0,0,0,0,4,7,5,3,0,0,0,1,0
0.25,-0.25,8.962058,1,1,-166,1,-166,0,0,0,0,0,0,0,0,5,6,4,4,0,0,0,1,0
0.25,-0.25,9.558929,1,1,-167,1,-167,0,0,0,0,0,0,0,0,6,7,5,5,0,0,0,1,0
0.25,-0.25,10.184185,1,1,-168,1,-168,0,0,0,0,0,0,0,0,5,6,4,4,0,0,0,1,0
0.25,-0.25,10.831967,1,1,-169,1,-169,0,0,0,0,0,0,0,0,4,7,5,5,0,0,0,1,0
0.25,-0.25,11.497584,1,1,-170,1,-170,0,0,0,0,0,0,0,0,3,6,6,4,0,0,0,1,0
0.25,-0.25,12.177276,1,1,-171,1,-171,0,0,0,0,0,0,0,0,4,7,5,3,0,0,0,1,0
0.25,-0.25,12.868029,1,1,-172,1,-172,0,0,0,0,0,0,0,0,5,6,6,4,0,0,0,1,0
0.25,-0.25,13.567409,1,1,-173,1,-173,0,0,0,0,0,0,0,0,6,5,5,3,0,0,0,1,0
-1.5,0.75,14.273446,1,1,-174,1,-174,0,0,0,0,0,0,0,0,7,4,4,4,0,0,0,1,0
-2.5,1.25,13.145235,1,1,-175,1,-175,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,1,0
-2.5,1.25,11.139518,1,1,-176,1,-176,0,0,0,0,0,0,0,0,7,4,4,4,0,0,0,1,0
-2.75,1.25,9.443367,1,1,-177,1,-177,0,0,0,0,0,0,0,0,6,5,5,3,0,0,0,1,0
-2.75,1.25,8.035334,1,1,-178,1,-178,0,0,0,0,0,0,0,0,5,4,4,4,0,0,0,1,0
-2.75,1.25,7.47429,1,1,-179,1,-179,0,0,0,0,0,0,0,0,4,3,5,3,0,0,0,1,0
-2.75,1.25,7.941244,1,1,-180,1,-180,0,0,0,0,0,0,0,0,5,4,6,4,0,0,0,1,0
-2.75,1.25,9.281854,1,1,-181,1,-181,0,0,0,0,0,0,0,0,6,3,7,5,0,0,0,1,0
-2.75,1.25,11.185918,1,1,-182,1,-182,0,0,0,0,0,0,0,0,7,4,6,6,0,0,0,1,0
-2.5,1.25,13.415319,1,1,-183,1,-183,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,1,0
-2.5,1.25,15.727236,1,1,-184,1,-184,0,0,0,0,0,0,0,0,5,6,6,6,0,0,0,1,0
-2.0,1.25,18.122375,1,1,-185,1,-185,0,0,0,0,0,0,0,0,6,7,5,7,0,0,0,1,0
-1.5,1.25,20.317805,1,1,-186,1,-186,0,0,0,0,0,0,0,0,5,6,4,6,0,0,0,1,0
-1.5,1.25,22.268643,1,1,-187,1,-187,0,0,0,0,0,0,0,0,4,5,3,7,0,0,0,1,0
-1.5,1.25,24.216928,1,1,-188,1,-188,0,0,0,0,0,0,0,0,5,4,4,6,0,0,0,1,0
-1.5,1.25,26.162641,1,1,-189,1,-189,0,0,0,0,0,0,0,0,6,3,5,7,0,0,0,1,0
-1.5,1.25,28.105775,1,1,-190,1,-190,0,0,0,0,0,0,0,0,7,4,4,6,0,0,0,1,0
-1.5,1.25,30.046322,1,1,-191,1,-191,0,0,0,0,0,0,0,0,6,5,5,7,0,0,0,1,0
-1.5,1.25,31.98428,1,1,-192,1,-192,0,0,0,0,0,0,0,0,5,6,6,6,0,0,0,1,0
-1.5,1.25,33.919648,1,1,-193,1,-193,0,0,0,0,0,0,0,0,4,7,5,5,0,0,0,1,0
-1.5,1.25,35.852427,1,1,-194,1,-194,0,0,0,0,0,0,0,0,3,6,4,6,0,0,0,1,0
-1.5,1.25,37.78262,1,1,-195,1,-195,0,0,0,0,0,0,0,0,4,5,5,7,0,0,0,1,0
-1.5,1.25,39.710228,1,1,-196,1,-196,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,1,0
-1.5,1.25,41.635258,1,1,-197,1,-197,0,0,0,0,0,0,0,0,4,7,5,5,0,0,0,1,0
-1.5,1.25,43.557712,1,1,-198,1,-198,0,0,0,0,0,0,0,0,3,6,4,6,0,0,0,1,0
-1.5,1.25,45.477596,1,1,-199,1,-199,0,0,0,0,0,0,0,0,4,7,3,5,0,0,0,1,0
-1.5,1.25,47.394916,1,1,-200,1,-200,0,0,0,0,0,0,0,0,5,6,4,6,0,0,0,1,0
-1.5,1.25,49.309679,0,1,-201,1,-201,0,0,0,0,0,0,0,0,6,5,3,7,0,0,0,1,0
-1.25,0.0,51.221891,0,1,-202,1,-202,0,0,0,0,0,0,0,0,5,6,4,6,0,0,0,1,0
0.25,-3.75,51.941737,0,1,-203,1,-203,0,0,0,0,0,0,0,0,6,5,3,5,0,0,0,1,0
0.25,-3.75,48.711623,0,1,-204,1,-204,0,0,0,0,0,0,0,0,7,4,4,4,0,0,0,1,0
0.25,-3.75,45.518703,1,1,-205,1,-205,0,0,0,0,0,0,0,0,6,3,5,3,0,0,0,1,0
0.25,-3.75,42.372514,1,1,-206,1,-206,0,0,0,0,0,0,0,0,7,4,4,4,0,0,0,1,0
0.25,-3.75,39.285511,1,1,-207,1,-207,0,0,0,0,0,0,0,0,6,5,3,3,0,0,0,1,0
0.25,-3.75,36.274141,1,1,-208,1,-208,0,0,0,0,0,0,0,0,7,6,4,4,0,0,0,1,0
0.25,-3.75,33.360349,1,1,-209,1,-209,0,0,0,0,0,0,0,0,6,5,5,3,0,0,0,1,0
0.25,-3.75,30.573647,1,1,-210,1,-210,0,0,0,0,0,0,0,0,5,6,6,4,0,0,0,1,0
0.25,-3.75,27.953826,1,1,-211,1,-211,0,0,0,0,0,0,0,0,4,5,5,3,0,0,0,1,0
