joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,"pump_1_flow, 1","pump_2_flow, 2","pump_3_flow, 3","pump_4_flow, 4","pump_5_flow, 5","pump_6_flow, 6","pump_7_flow, 7","pump_8_flow, 8",scale1,scale2,scale3,scale4,event_occured,response_time
-2.5,-0.75,14.439329,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,5,7,0,0
-2.5,-0.75,12.543073,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,4,6,0,0
-1.75,-0.5,10.644661,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,7,5,7,0,0
-1.75,-0.5,9.499095,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,6,6,1,0
-1.5,-0.5,8.353921,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,7,5,5,1,100
-1.5,-0.5,7.459552,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,4,6,1,200
-1.5,-0.5,6.567275,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,5,1,300
-1.5,-0.5,5.678993,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,4,6,1,400
-1.5,-0.5,4.798033,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,3,7,1,500
-1.5,-0.5,3.930706,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,4,6,1,600
-1.5,-0.5,3.090315,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,7,3,5,1,700
-1.5,-0.5,2.30895,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,4,6,1,800
-1.5,-0.5,1.675002,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,7,5,7,1,900
-1.5,-0.5,1.408906,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,6,6,1,1000
-1.5,-0.5,1.697489,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,7,1,1100
-1.5,-0.5,2.346762,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,4,6,1,1200
-1.5,-0.5,3.14246,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,7,3,7,1,1300
-1.5,-0.5,3.999694,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,6,4,6,1,1400
-1.5,-0.5,4.88752,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,3,7,1,1500
-1.5,-0.5,5.793036,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,6,4,6,1,1600
-1.5,-0.5,6.710095,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,3,7,1,1700
-1.5,-0.5,7.635444,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,4,4,6,1,1800
-1.5,-0.5,8.567218,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,3,7,1,1900
-1.5,-0.5,9.504285,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,4,6,1,2000
-1.5,-0.5,10.445918,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,5,7,1,2100
-1.5,-0.5,11.39164,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,4,4,6,1,2200
-1.5,-0.5,12.341123,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,3,7,1,2300
-1.5,-0.5,13.294143,1,1,-27,1,-29,0,1,0,1,0,0,0,0,2,4,4,6,1,2400
-1.5,-0.5,14.25054,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,3,5,7,1,2500
-1.5,-0.5,15.210202,1,1,-27,1,-29,0,1,0,1,0,0,0,0,0,4,4,6,1,2600
-1.5,-0.5,16.173051,1,1,-27,1,-29,0,1,0,1,0,0,0,0,1,5,5,5,1,2700
